#n        count         cpu wall
#- ------------ ----------- ----
 1         2 0.000003 0
 2         3 0.000003 0
 3         6 0.000004 0
 4         9 0.000003 0
 5        16 0.000003 0
 6        24 0.000003 0
 7        42 0.000004 0
 8        61 0.000004 0
 9       108 0.000004 0
10       151 0.000004 0
11       253 0.000004 0
12       369 0.000005 0
13       607 0.000006 0
14       847 0.000007 0
15      1400 0.000026 0
16      1954 0.000012 0
17      3139 0.000016 0
18      4398 0.000021 0
19      6976 0.000061 0
20      9583 0.000040 0
21     15456 0.000062 0
22     20982 0.000118 0
23     32816 0.000123 0
24     45417 0.000169 0
25     70109 0.000253 0
26     94499 0.000337 0
27    148234 0.000522 0
28    200768 0.000736 0
29    308213 0.001146 0
30    415543 0.001420 0
31    634270 0.002204 0
32    849877 0.002921 0
33   1311244 0.004396 0
34   1739022 0.005838 0
35   2630061 0.008751 0
36   3540355 0.011818 0
37   5344961 0.018419 0
38   7051789 0.023344 0
39  10747207 0.035943 0
40  14158720 0.047144 0
41  21295570 0.070065 0
42  28188520 0.093362 0
43  42283059 0.138778 0
44  55560183 0.186062 0
45  83902379 0.274806 0
46 109416660 0.357254 0
47 163758608 0.534397 0
48 215578633 0.708731 0
49 322546325 1.048735 1
50 417931547 1.358071 1
#- ------------ ----------- ----
# even n: 6.873187e-08*1.399667^n
#   the expected time for n=100 is 318.5 days
#  odd n: 6.750906e-08*1.402147^n
