#  n     IJK     IKJ     JIK     JKI     KIJ     KJI
#--- ------- ------- ------- ------- ------- -------
  16   1.021   0.809   1.023   0.516   0.788   0.557
  17   1.006   0.805   1.038   0.483   0.787   0.511
  18   1.025   0.783   1.034   0.410   0.749   0.467
  19   1.073   0.756   1.045   0.417   0.740   0.445
  20   1.473   0.744   1.057   0.438   0.733   0.469
  21   1.365   0.748   1.112   0.399   0.721   0.442
  22   1.447   0.751   1.126   0.352   0.717   0.400
  23   1.374   0.728   1.133   0.377   0.713   0.422
  24   1.355   0.722   1.188   0.384   0.710   0.410
  25   1.381   0.719   1.256   0.373   0.713   0.400
  26   1.412   0.717   1.263   0.330   0.705   0.363
  27   1.397   0.714   1.397   0.350   0.708   0.376
  28   1.266   0.712   1.368   0.355   0.702   0.370
  29   1.355   0.710   1.260   0.345   0.699   0.366
  30   1.342   0.714   1.257   0.297   0.697   0.321
  31   1.330   0.705   1.253   0.323   0.695   0.347
  32   1.476   0.704   1.250   0.332   0.694   0.341
  33   1.292   0.773   1.247   0.319   0.692   0.336
  34   1.256   0.857   1.246   0.284   0.691   0.308
  35   1.343   0.854   1.290   0.310   0.873   0.329
  36   1.284   0.847   1.288   0.306   0.695   0.321
  37   1.244   0.846   1.238   0.302   0.688   0.322
  38   1.278   0.845   1.238   0.269   0.690   0.293
  39   1.238   0.831   1.235   0.287   0.686   0.310
  40   1.312   1.233   1.321   0.297   0.854   0.314
  41   1.296   0.845   1.359   0.288   0.685   0.308
  42   1.272   0.824   1.272   0.260   0.823   0.281
  43   1.332   0.823   1.229   0.273   0.686   0.310
  44   1.596   1.375   1.294   0.307   0.808   0.290
  45   1.270   0.816   1.227   0.276   0.682   0.293
  46   1.265   0.751   1.227   0.249   0.682   0.273
  47   1.264   0.691   1.226   0.272   0.681   0.291
  48   1.398   0.805   1.385   0.281   0.755   0.279
  49   1.261   0.801   1.259   0.267   0.803   0.286
  50   1.304   0.800   1.223   0.243   0.683   0.262
  51   1.261   0.797   1.232   0.253   0.683   0.278
  52   1.258   0.846   1.240   0.255   0.682   0.270
  53   1.257   0.791   1.561   0.483   0.725   0.279
  54   1.269   0.788   1.255   0.237   0.681   0.259
  55   1.258   0.788   1.254   0.253   0.681   0.273
  56   1.284   0.779   1.254   0.248   0.783   0.358
  57   1.255   0.965   1.353   0.252   0.945   0.273
  58   1.279   0.781   1.221   0.234   0.679   0.254
  59   1.288   0.777   1.242   0.391   0.810   0.267
  60   1.256   0.778   1.222   0.243   0.776   0.260
