#  n     IJK     IKJ     JIK     JKI     KIJ     KJI
#--- ------- ------- ------- ------- ------- -------
  16   0.586   0.177   0.427   0.732   0.183   0.427
  17   0.560   0.163   0.412   0.723   0.163   0.407
  18   0.549   0.167   0.412   0.686   0.171   0.399
  19   0.583   0.168   0.408   0.667   0.182   0.423
  20   0.566   0.163   0.403   0.637   0.175   0.388
  21   0.710   0.165   0.400   0.637   0.173   0.375
  22   0.552   0.228   0.526   0.608   0.157   0.376
  23   0.545   0.177   0.399   0.623   0.164   0.370
  24   0.541   0.128   0.398   0.606   0.145   0.362
  25   0.536   0.122   0.400   0.584   0.158   0.360
  26   0.531   0.118   0.404   0.576   0.137   0.360
  27   0.526   0.124   0.414   0.580   0.142   0.357
  28   0.524   0.138   0.424   0.571   0.128   0.356
  29   0.544   0.148   0.428   0.567   0.125   0.354
  30   0.521   0.155   0.438   0.544   0.126   0.353
  31   0.519   0.161   0.457   0.548   0.158   0.349
  32   0.525   0.104   0.458   0.555   0.130   0.351
  33   0.521   0.097   0.455   0.531   0.120   0.351
  34   0.523   0.099   0.459   0.513   0.115   0.349
  35   0.527   0.108   0.457   0.511   0.126   0.362
  36   0.526   0.118   0.457   0.501   0.129   0.348
  37   0.525   0.127   0.468   0.513   0.118   0.345
  38   0.529   0.129   0.457   0.493   0.112   0.354
  39   0.528   0.139   0.459   0.621   0.121   0.344
  40   0.534   0.098   0.459   0.477   0.128   0.344
  41   0.533   0.096   0.458   0.480   0.118   0.343
  42   0.531   0.096   0.461   0.475   0.110   0.343
  43   0.532   0.103   0.460   0.485   0.123   0.342
  44   0.535   0.110   0.465   0.469   0.126   0.341
  45   0.534   0.117   0.462   0.459   0.110   0.343
  46   0.535   0.121   0.462   0.462   0.104   0.340
  47   0.538   0.130   0.463   0.458   0.121   0.340
  48   0.540   0.092   0.463   0.452   0.127   0.339
  49   0.537   0.094   0.463   0.468   0.113   0.341
  50   0.540   0.088   0.464   0.443   0.106   0.339
  51   0.539   0.102   0.488   0.459   0.123   0.340
  52   0.541   0.104   0.465   0.466   0.127   0.338
  53   0.544   0.108   0.464   0.458   0.116   0.339
  54   0.543   0.111   0.465   0.464   0.111   0.338
  55   0.544   0.122   0.466   0.477   0.119   0.337
  56   0.549   0.091   0.466   0.569   0.141   0.485
  57   0.554   0.088   0.476   0.553   0.120   0.423
  58   0.547   0.088   0.468   0.443   0.115   0.337
  59   0.548   0.095   0.468   0.472   0.126   0.437
