#n        count         cpu wall
#- ------------ ----------- ----
 1            2    0.000132    0
 2            3    0.000141    0
 3            6    0.000160    0
 4            9    0.000164    0
 5           16    0.000135    0
 6           24    0.000143    0
 7           42    0.000542    0
 8           61    0.000793    0
 9          108    0.001172    0
10          151    0.001362    0
11          253    0.001790    0
12          369    0.002010    0
13          607    0.002655    0
14          847    0.003138    0
15         1400    0.003454    0
16         1954    0.003731    0
17         3139    0.004400    0
18         4398    0.004955    0
19         6976    0.005377    0
20         9583    0.006068    0
21        15456    0.006424    0
22        20982    0.006733    0
23        32816    0.007565    0
24        45417    0.008151    0
25        70109    0.008731    0
26        94499    0.009314    0
27       148234    0.010307    0
28       200768    0.011378    0
29       308213    0.012738    0
30       415543    0.014030    0
31       634270    0.016251    0
32       849877    0.019626    0
33      1311244    0.024637    0
34      1739022    0.029713    0
35      2630061    0.039662    0
36      3540355    0.050630    0
37      5344961    0.070542    0
38      7051789    0.091252    0
39     10747207    0.131953    0
40     14158720    0.174292    0
41     21295570    0.255116    0
42     28188520    0.340418    0
43     42283059    0.504294    0
44     55560183    0.671168    0
45     83902379    1.004919    0
46    109416660    1.333851    0
47    163758608    1.990249    0
48    215578633    2.661771    0
49    322546325    3.984388    1
50    417931547    5.256246    1
51    630427082    7.934694    2
52    819313304   10.473842    2
53   1225749154   15.725668    4
54   1594365915   20.778746    5
55   2379621002   31.160994    8
56   3079772605   40.960296   10
57   4644363603   62.050262   16
58   5978202515   81.152705   20
59   8958100404  122.434079   32
60  11592193582  160.590047   41
61  17393090707  242.882031   64
62  22308026756  316.195002   80
63  33748401756  482.040995  127
64  43297822681  626.835719  159
65  65121346897  952.444279  251
66  83642904429 1239.386068  317
67 126159860860 1890.374203  504
68 161412021000 2451.542016  627
69 245282674245 3764.262382 1003
70 312496982046 4863.722501 1240
#- ------------ ----------- ----
# even n: 1.029383e-08*n*1.381309^n
#  odd n: 1.022231e-08*n*1.383139^n
