#n        count         cpu wall
#- ------------ ----------- ----
 1         2 0.000004 0
 2         3 0.000003 0
 3         6 0.000002 0
 4         9 0.000003 0
 5        16 0.000005 0
 6        24 0.000003 0
 7        42 0.000003 0
 8        61 0.000003 0
 9       108 0.000005 0
10       151 0.000005 0
11       253 0.000006 0
12       369 0.000008 0
13       607 0.000010 0
14       847 0.000014 0
15      1400 0.000019 0
16      1954 0.000031 0
17      3139 0.000048 0
18      4398 0.000066 0
19      6976 0.000092 0
20      9583 0.000155 0
21     15456 0.000250 0
22     20982 0.000322 0
23     32816 0.000553 0
24     45417 0.000802 0
25     70109 0.001170 0
26     94499 0.001656 0
27    148234 0.002665 0
28    200768 0.003753 0
29    308213 0.005485 0
30    415543 0.007925 0
31    634270 0.012434 0
32    849877 0.015941 0
33   1311244 0.025160 0
34   1739022 0.030400 0
35   2630061 0.051407 0
36   3540355 0.071417 0
37   5344961 0.111092 0
38   7051789 0.141569 0
39  10747207 0.190981 0
40  14158720 0.263147 0
41  21295570 0.407463 0
42  28188520 0.519583 0
43  42283059 0.794189 0
44  55560183 0.805736 0
45  83902379 1.292900 1
46 109416660 1.688310 1
47 163758608 3.170320 3
48 215578633 4.507401 4
49 322546325 6.132026 6
50 417931547 6.585928 6
#- ------------ ----------- ----
# even n: 2.491742e-08*n*1.364598^n
#   the expected time for n=100 is 913.0 days
#  odd n: 2.058267e-08*n*1.374478^n
