#n        count         cpu wall
#- ------------ ----------- ----
 1         2 0.000003 0
 2         3 0.000003 0
 3         6 0.000003 0
 4         9 0.000004 0
 5        16 0.000003 0
 6        24 0.000004 0
 7        42 0.000004 0
 8        61 0.000004 0
 9       108 0.000005 0
10       151 0.000006 0
11       253 0.000007 0
12       369 0.000009 0
13       607 0.000012 0
14       847 0.000016 0
15      1400 0.000023 0
16      1954 0.000030 0
17      3139 0.000082 0
18      4398 0.000064 0
19      6976 0.000131 0
20      9583 0.000175 0
21     15456 0.000211 0
22     20982 0.000293 0
23     32816 0.000444 0
24     45417 0.000629 0
25     70109 0.000954 0
26     94499 0.001333 0
27    148234 0.002030 0
28    200768 0.002830 0
29    308213 0.004426 0
30    415543 0.006113 0
31    634270 0.009194 0
32    849877 0.013090 0
33   1311244 0.019427 0
34   1739022 0.027250 0
35   2630061 0.040183 0
36   3540355 0.055681 0
37   5344961 0.082448 0
38   7051789 0.113420 0
39  10747207 0.168169 0
40  14158720 0.230845 0
41  21295570 0.340588 0
42  28188520 0.462386 0
43  42283059 0.691358 0
44  55560183 0.924597 0
45  83902379 1.381202 1
46 109416660 1.852386 1
47 163758608 2.752026 2
48 215578633 3.741391 3
49 322546325 5.566486 5
50 417931547 7.309250 7
#- ------------ ----------- ----
# even n: 1.354805e-08*n*1.382693^n
#   the expected time for n=100 is 1853.2 days
#  odd n: 1.295492e-08*n*1.385670^n
