#n        count         cpu wall
#- ------------ ----------- ----
 1           2  0.000004  0
 2           3  0.000002  0
 3           6  0.000002  0
 4           9  0.000002  0
 5          16  0.000003  0
 6          24  0.000002  0
 7          42  0.000002  0
 8          61  0.000002  0
 9         108  0.000002  0
10         151  0.000003  0
11         253  0.000003  0
12         369  0.000003  0
13         607  0.000007  0
14         847  0.000006  0
15        1400  0.000006  0
16        1954  0.000008  0
17        3139  0.000011  0
18        4398  0.000015  0
19        6976  0.000021  0
20        9583  0.000027  0
21       15456  0.000040  0
22       20982  0.000054  0
23       32816  0.000079  0
24       45417  0.000106  0
25       70109  0.000158  0
26       94499  0.000210  0
27      148234  0.000324  0
28      200768  0.000433  0
29      308213  0.000654  0
30      415543  0.000867  0
31      634270  0.001310  0
32      849877  0.001738  0
33     1311244  0.002648  0
34     1739022  0.003484  0
35     2630061  0.005204  0
36     3540355  0.006950  0
37     5344961  0.010457  0
38     7051789  0.013723  0
39    10747207  0.020727  0
40    14158720  0.027171  0
41    21295570  0.040460  0
42    28188520  0.053362  0
43    42283059  0.079626  0
44    55560183  0.104399  0
45    83902379  0.156789  0
46   109416660  0.203792  0
47   163758608  0.304109  0
48   215578633  0.399080  0
49   322546325  0.595555  0
50   417931547  0.769681  0
51   630427082  1.158710  1
52   819313304  1.502136  1
53  1225749154  2.240236  2
54  1594365915  2.908815  2
55  2379621002  4.332940  4
56  3079772605  5.602231  5
57  4644363603  8.440832  8
58  5978202515 11.015106 11
59  8958100404 16.202089 16
60 11592193582 21.031895 21
61 17393090707 31.354050 31
62 22308026756 40.229298 40
63 33748401756 60.760733 60
64 43297822681 77.802592 77
65 43297822681 77.826523 77
66 43297822681 77.804733 77
67 43297822681 77.821366 77
68 43297822681 77.841797 77
69 43297822681 77.845645 77
70 43297822681 77.853416 77
#- ------------ ----------- ----
# even n: 3.479484e-07*1.337838^n
#   the expected time for n=100 is 17.6 days
#  odd n: 3.190016e-07*1.342558^n
