#n        count         cpu wall
#- ------------ ----------- ----
 1         2 0.000005 0
 2         3 0.000003 0
 3         6 0.000002 0
 4         9 0.000003 0
 5        16 0.000004 0
 6        24 0.000003 0
 7        42 0.000003 0
 8        61 0.000005 0
 9       108 0.000003 0
10       151 0.000003 0
11       253 0.000007 0
12       369 0.000004 0
13       607 0.000004 0
14       847 0.000005 0
15      1400 0.000009 0
16      1954 0.000009 0
17      3139 0.000010 0
18      4398 0.000014 0
19      6976 0.000017 0
20      9583 0.000024 0
21     15456 0.000033 0
22     20982 0.000042 0
23     32816 0.000063 0
24     45417 0.000086 0
25     70109 0.000130 0
26     94499 0.000173 0
27    148234 0.000266 0
28    200768 0.000352 0
29    308213 0.000556 0
30    415543 0.000708 0
31    634270 0.001060 0
32    849877 0.001943 0
33   1311244 0.002220 0
34   1739022 0.002991 0
35   2630061 0.004369 0
36   3540355 0.007675 0
37   5344961 0.008681 0
38   7051789 0.011445 0
39  10747207 0.017402 0
40  14158720 0.022975 0
41  21295570 0.034094 0
42  28188520 0.045513 0
43  42283059 0.077639 0
44  55560183 0.089816 0
45  83902379 0.144888 0
46 109416660 0.175659 0
47 163758608 0.262224 0
48 215578633 0.352842 0
49 322546325 0.556850 0
50 417931547 0.699602 0
#- ------------ ----------- ----
# even n: 2.693446e-08*1.406863^n
#   the expected time for n=100 is 208.4 days
#  odd n: 3.173481e-08*1.405192^n
